X1 (mm),Y1 (mm),Z1 (mm)
5719.840957641602,-4243.646691,6849.017936
5702.174041,-4257.724836,6843.472733259201
5694.271182775497,-4279.09594,6849.711085796356
5679.9663734436035,-4295.676178,6848.324785232544
5668.481104195118,-4314.39146,6850.404236078262
5662.656949996948,-4337.459698,6859.415189743042
5650.465184569359,-4355.692244,6860.801490306854
5639.353365063667,-4374.774408,6863.574091434479
5619.655206620693,-4387.17595,6855.949438333511
5612.404005765915,-4409.294329,6863.574091434479
5603.938779056072,-4430.515589,6869.812443971634
5588.627665281296,-4446.340979,6867.7329931259155
5571.021562,-4460.312387,6862.880941152573
5574.711223602295,-4491.40161,6884.368599891663
5560.346041202545,-4508.029642,6883.6754496097565
5532.526899218559,-4513.676003,6866.346692562103
5540.936736226082,-4548.92271,6894.072703838348
5510.839701414108,-4552.587703,6873.971345663071
5501.8351756334305,-4573.620286,6880.209698200226
5483.354959130287,-4586.778297,6874.664495944977
5464.845421910286,-4599.866015,6869.119293689728
5447.957342863083,-4614.281106,6865.653542280197
5428.2892471551895,-4626.298233,6858.722039461136
